Aquarium,Temperature,Treatment,FvFm,Replicate,Timepoint,Days
1.1,Control temperature,BMC,0.593,CB,T0,0
1.2,Control temperature,BMC,0.574,CB,T0,0
1.3,Control temperature,BMC + Vibrio,0.699,CBV,T0,0
1.4,Control temperature,Saline,0.607,CS,T0,0
1.5,Control temperature,Saline,0.661,CS,T0,0
2.1,Heat treatment,Vibrio,0.478,HV,T0,0
2.2,Heat treatment,BMC + Vibrio,0.647,HBV,T0,0
2.3,Heat treatment,BMC + Vibrio,0.594,HBV,T0,0
2.4,Heat treatment,BMC,0.537,HB,T0,0
2.5,Heat treatment,Saline,0.575,HS,T0,0
3.1,Heat treatment,BMC + Vibrio,0.601,HBV,T0,0
3.2,Heat treatment,BMC + Vibrio,0.582,HBV,T0,0
3.3,Heat treatment,BMC,0.56,HB,T0,0
3.4,Heat treatment,Saline,0.612,HS,T0,0
3.5,Heat treatment,Vibrio,0.569,HV,T0,0
4.1,Heat treatment,BMC + Vibrio,0.499,HBV,T0,0
4.2,Heat treatment,Vibrio,0.545,HV,T0,0
4.3,Heat treatment,Saline,0.504,HS,T0,0
4.4,Heat treatment,Saline,0.51,HS,T0,0
4.5,Heat treatment,BMC,0.521,HB,T0,0
5.1,Control temperature,BMC,0.555,CB,T0,0
5.2,Control temperature,BMC + Vibrio,0.527,CBV,T0,0
5.3,Control temperature,Vibrio,0.533,CV,T0,0
5.4,Control temperature,Vibrio,0.671,CV,T0,0
5.5,Control temperature,BMC + Vibrio,0.574,CBV,T0,0
6.1,Control temperature,Vibrio,0.631,CV,T0,0
6.2,Control temperature,Vibrio,0.527,CV,T0,0
6.3,Control temperature,Vibrio,0.495,CV,T0,0
6.4,Control temperature,Saline,0.588,CS,T0,0
6.5,Control temperature,BMC,0.587,CB,T0,0
7.1,Control temperature,BMC,0.518,CB,T0,0
7.2,Control temperature,BMC + Vibrio,0.528,CBV,T0,0
7.3,Control temperature,BMC + Vibrio,0.635,CBV,T0,0
